position,candidate,party,district
SENATOR,"ABALOS, BENHUR",PFP,
SENATOR,"CAYETANO, PIA",NP,
SENATOR,"LAPID, LITO",NPC,
SENATOR,"QUERUBIN, ARIEL PORFIRIO",NP,
SENATOR,"ADONIS, JEROME",MKBYN,
SENATOR,"D'ANGELO, DAVID",BUNYOG,
SENATOR,"LEE, MANOY WILBERT",AKSYON,
SENATOR,"QUIBOLOY, APOLLO",IND,
SENATOR,"AMAD, WILSON",IND,
SENATOR,"DE ALBAN,ATTORNEY ANGELO",IND,
SENATOR,"LIDASAN, AMIRAH",MKBYN,
SENATOR,"RAMOS, DANILO",MKBYN,
SENATOR,"ANDAMO, NARS ALYN",MKBYN,
SENATOR,"DE GUZMAN, KA LEODY",PLM,
SENATOR,"MARCOLETA, RODANTE",IND,
SENATOR,"REVILLAME, WILLIE WIL",IND,
SENATOR,"AQUINO, BAM",KNP,
SENATOR,"DELA ROSA, BATO",PDPLBN,
SENATOR,"MARCOS, IMEE R.",NP,
SENATOR,"RODRIGUEZ, ATTY. VIC",IND,
SENATOR,"ARAMBULO, RONNEL",MKBYN,
SENATOR,"DORINGO, NANAY MIMI",MKBYN,
SENATOR,"MARQUEZ, NORMAN",IND,
SENATOR,"SAHIDULLA, NUR-ANA",IND,
SENATOR,"ARELLANO, ERNESTO",KTPNAN,
SENATOR,"ESCOBAL, ARNEL",PM,
SENATOR,"MARTINEZ, ERIC",IND,
SENATOR,"SALVADOR, PHILLIP IPE",PDPLBN,
SENATOR,"BALLON, ROBERTO",IND,
SENATOR,"ESPIRITU, LUKE",PLM,
SENATOR,"MATA, DOC MARITES",IND,
SENATOR,"SOTTO, TITO",NPC,
SENATOR,"BINAY, ABBY",NPC,
SENATOR,"FLORANDA, MODY PISTON",MKBYN,
SENATOR,"MATULA, ATTY. SONNY",WPP,
SENATOR,"TAPADO, MICHAEL BONGBONG",PM,
SENATOR,"BONDOC, JIMMY",PDPLBN,
SENATOR,"GAMBOA, MARC LOUIE",IND,
SENATOR,"MAZA, LIZA",MKBYN,
SENATOR,"TOLENTINO, FRANCIS TOL",PFP,
SENATOR,"BONG REVILLA,RAMON, JR.",LAKAS,
SENATOR,"GO, BONG GO",PDPLBN,
SENATOR,"MENDOZA, HEIDI",IND,
SENATOR,"TULFO, BEN BITAG",IND,
SENATOR,"BOSITA, COLONEL",IND,
